customer_id,age,tenure,monthly_charges,total_charges,contract_length,payment_method,internet_service,online_security,tech_support,churn
1,47.450712295168486,0.7750200594713087,55.41081178099083,1771.077677153288,24,Electronic Check,DSL,No,Yes,0
2,37.92603548243223,0.21744163127717245,44.43864375071779,1182.49588409777,12,Electronic Check,DSL,Yes,Yes,0
3,49.715328071510385,0.14903236264820177,75.0400377813312,2332.6828320505265,1,Electronic Check,Fiber Optic,Yes,Yes,0
4,62.84544784612038,0.19804126142020598,30.862748756139,909.9512206737502,1,Mailed Check,No,Yes,Yes,1
5,36.48769937914996,1.7487116474659372,59.64321134863378,461.44638795758146,12,Bank Transfer,Fiber Optic,No,Yes,0
6,36.487945645762295,0.10608897119113778,13.927379687028036,2149.8569529167835,1,Bank Transfer,DSL,Yes,Yes,0
7,63.688192232610874,0.8217400014126834,38.271951532834734,1175.0701892131494,24,Mailed Check,DSL,Yes,Yes,0
8,51.51152093729363,2.7983515582973464,47.45732123105151,1246.7831887970524,12,Mailed Check,Fiber Optic,Yes,Yes,0
9,32.95788421097572,0.6972666336673558,86.93448415258568,998.4474915591429,24,Electronic Check,DSL,No,No,1
10,48.13840065378947,2.881991774336703,78.76216048808539,1121.746083556733,12,Electronic Check,Fiber Optic,Yes,Yes,0
11,33.04873460781307,2.736649870984368,53.92130632315515,2622.426742021493,24,Electronic Check,DSL,Yes,Yes,1
12,33.01405369644615,0.5642673403743166,79.58739590259502,2829.999012626934,1,Mailed Check,DSL,No,Yes,1
13,43.629434073490515,2.609961022526442,82.75245926760793,2935.9829089156874,12,Bank Transfer,Fiber Optic,Yes,No,1
14,11.300796330133032,2.7548804559783915,61.78670303250557,2372.09649694201,1,Bank Transfer,DSL,No,No,0
15,14.126232512304508,1.0131822892384166,37.3124371157262,1873.0170078185902,12,Bank Transfer,Fiber Optic,Yes,No,0
16,31.56568706138541,0.4725094662424899,60.841753798677715,354.1715264535094,12,Electronic Check,No,Yes,Yes,1
17,24.80753319498364,1.4732404006049544,63.04215189655727,1349.9802376797202,24,Bank Transfer,Fiber Optic,No,Yes,0
18,44.71370998892911,5.086705785994821,40.35091218339548,3225.40359089895,24,Electronic Check,Fiber Optic,No,Yes,0
19,26.37963886718184,2.0411743634353954,72.34093585859935,1151.5027369978766,12,Mailed Check,Fiber Optic,No,No,0
20,18.815444479970626,0.37971374653504125,70.59623708604711,2711.31557981782,1,Credit Card,DSL,No,Yes,0
21,61.98473153382331,2.2961739999941635,73.90085399788373,1544.0286552244359,24,Mailed Check,DSL,No,No,1
22,36.61335549270196,1.1144478968174718,70.57846194334887,-642.513908682517,1,Electronic Check,Fiber Optic,Yes,Yes,0
23,41.012923070318855,1.790667725057969,79.59686070229967,2012.38845093517,24,Bank Transfer,Fiber Optic,No,Yes,1
24,18.628777206798148,2.6489994647017947,61.41343944253937,2513.003756942649,12,Credit Card,Fiber Optic,Yes,Yes,0
25,31.83425913212226,1.4469956807154059,69.03570214741907,1460.8032250875644,24,Credit Card,DSL,No,Yes,0
26,41.663838845647994,3.363844901544646,57.04519431508936,2486.4408035883307,12,Credit Card,Fiber Optic,Yes,Yes,0
27,22.735096338665457,2.5613879195535922,53.31001568756099,165.7379884663303,12,Mailed Check,Fiber Optic,Yes,Yes,0
28,45.63547027518508,1.9094049127902553,91.76499261524151,391.54858888050444,12,Credit Card,DSL,No,No,0
29,30.990419651217927,0.3269041785291999,24.124625969470074,1663.89144646855,24,Electronic Check,Fiber Optic,No,Yes,0
30,35.62459375310085,3.6151571999422205,82.53519978308529,1881.6917822540254,1,Electronic Check,Fiber Optic,Yes,Yes,0
31,30.974400816559047,5.494796106652902,52.58918249108679,2585.263094873823,24,Mailed Check,DSL,Yes,Yes,0
32,67.78417276763406,0.29460035195963596,49.99923644713758,2011.1395733988486,1,Bank Transfer,Fiber Optic,No,Yes,1
33,39.79754162893099,1.3398034416037428,70.23154968130814,545.0967285079656,24,Bank Transfer,Fiber Optic,Yes,No,1
34,24.134336065661493,0.5992090383360161,35.207807752979946,1670.4364976595089,1,Mailed Check,Fiber Optic,Yes,No,1
35,52.338173681547836,2.8091065497030403,48.679538561075944,1980.5819562305194,1,Bank Transfer,Fiber Optic,Yes,Yes,0
36,21.687345250434667,2.557605614709015,48.01720706974016,0.6128010422967236,24,Bank Transfer,DSL,Yes,Yes,0
37,43.132953925071334,0.30370525940085147,60.5720348362981,1465.0932242095878,24,Credit Card,DSL,No,Yes,0
38,10.604948141803366,4.191585331533961,48.91724623678623,1231.53396484942,12,Mailed Check,DSL,Yes,Yes,0
39,20.077209266523543,0.3992766135082961,97.02237371278538,976.2455410034039,24,Mailed Check,No,No,Yes,0
40,42.952918538036855,3.191652206242102,100.94033032995908,1899.021641402138,1,Bank Transfer,DSL,Yes,Yes,0
41,51.07699869993115,1.2212195791763059,24.560129545038734,580.2547787536608,1,Bank Transfer,Fiber Optic,No,Yes,0
42,42.57052421784956,0.795804438642863,75.88645409531472,1833.5036096029196,1,Mailed Check,DSL,Yes,Yes,1
43,38.265275764176394,0.3445189301330388,82.17326878155149,1947.5929033671157,12,Electronic Check,DSL,Yes,No,1
44,35.48344456616067,0.3669186223340375,75.8597040478221,2367.010648208779,12,Mailed Check,DSL,Yes,Yes,0
